INTERNSHIP_INFO_ID;INTERNSHIP_TYPE_ID;UPDATE_TIMESTAMP;INFO_TEXT
1;1;2022-05-08 09:00:00;Aqui estão informações gerais sobre estágio obrigatório:\n\nO estágio obrigatório é uma atividade curricular prevista no PPC (Projeto Pedagógico do Curso) e é necessário para a conclusão do curso e obtenção do diploma. Ele oferece experiência prática na área de atuação do curso de graduação, preparando o aluno para o mercado de trabalho.\n\nO estágio é supervisionado por um funcionário da empresa com experiência na área relacionada ao curso (Supervisor de Estágio) e também por um docente da UTFPR (Professor Orientador de Estágio).\n\nPara o estágio obrigatório não é exigida remuneração ou benefícios, ficando ao encargo das empresas.\n\nO estágio em uma mesma Unidade Concedente de Estágio (UCE) não pode exceder dois anos, consecutivos ou não, exceto em casos de estagiários com deficiência.\n\nCaso o aluno deseje continuar o estágio após o término do contrato inicial, deve-se iniciar um novo processo de documentação e aprovação, respeitando os prazos e regulamentos.\n\nA rescisão do contrato de estágio deve ser comunicada ao Professor Orientador de Estágio com antecedência, seguindo os procedimentos adequados.
2;1;2022-05-08 09:00:00;Aqui estão informações da diferença entre as modalidades de estágio:\n\nNo caso do estágio obrigatório, é uma exigência do curso e deve ser cumprido para a obtenção do diploma. Já no estágio não obrigatório, é extracurricular e opcional. Não é uma exigência para a conclusão do curso, mas oferece experiência profissional adicional.\n\nO estágio não obrigatório pode ser iniciado à partir do segundo semestre do curso, enquanto o obrigatório depende das diretrizes do curso e pode variar.\n\nO estágio não obrigatório não possui uma carga horária mínima definida, enquanto o estágio obrigatório tem uma carga horária bem definida. Ambas são limitadas pelas normas de estágio da UTFPR.\n\nEnquanto no estágio obrigatório não a remuneração não é obrigatória, na modalidade de estágio não obrigatório deve ser remunerado, como previsto na Lei de Estágio.\n\nAmbos os tipos de estágio exigem supervisão acadêmica (pelo Professor Orientador de Estágio) e supervisão profissional (pelo Supervisor de Estágio na empresa). Eles também requerem a elaboração de relatórios e o cumprimento de requisitos documentais específicos. Importante ressaltar que, independentemente do tipo de estágio, é essencial cumprir as regulamentações e diretrizes estabelecidas pela universidade e pela legislação de estágios brasileira.
3;1;2022-05-08 09:00:00;Aqui estão informações da documentação de estágio obrigatório:\n\nPlano de Estágio: o modelo deve ser preenchido e assinado tanto pelo estagiário quanto pelo supervisor de estágio. Após assinatura, o documento é encaminhado para o Professor Orientador e o PRAE para assinatura via SEI (Sistema Eletrônico de Informações)\n\nTermo de Compromisso de Estágio: Caso a empresa utilize uma Integradora de Estágio (ex: CIEE), as informações devem estar alinhadas com a documentação da Integradora. Este termo deve ser assinado pelo aluno e pela empresa. Após as assinaturas, o documento é encaminhado ao PRAE para formalização.\n\nCada etapa da documentação deve ser cuidadosamente seguida para garantir a conformidade com as normas da UTFPR e a validade legal do estágio. É importante também manter o cadastro atualizado no sistema de estágio da UTFPR e seguir as orientações do Professor Orientador de Estágio em todas as etapas do processo.
4;1;2022-05-08 09:00:00;Aqui estão informações de relatórios de estágio obrigatório:\n\nRelatórios Parciais: São necessários dois relatórios parciais a cada seis meses de estágio. O estagiário deve preencher o "Relatório Parcial de Estágio - Estagiário". O supervisor de estágio deve preencher o "Relatório Parcial de Estágio - Supervisor". Ambos os relatórios devem ser assinados e submetidos ao Professor Orientador. Devem ser anexados no Sistema de Estágio da UTFPR e no processo SEI do aluno.\n\nRelatório Final: No término do estágio obrigatório, é necessário um relatório final. O estagiário utiliza o "Modelo Relatório Final Estágio Obrigatório" para este fim. O supervisor de estágio deve preencher e assinar o modelo "Relatório de Estágio - Supervisor", que é anexado ao relatório final do estagiário. Após a conclusão, este relatório é submetido para avaliação e deve ser anexado ao Sistema de Estágio da UTFPR e ao processo SEI do aluno.\n\nEstes relatórios são fundamentais para a avaliação do desempenho do aluno no estágio e para o cumprimento dos requisitos acadêmicos do curso. É importante ressaltar que todos os relatórios devem seguir os modelos fornecidos pela UTFPR e devem ser submetidos dentro dos prazos estipulados pelo regulamento de estágios da universidade.
5;1;2022-05-08 09:00:00;Aqui estão informações para alteração de horário de estágio obrigatório:\n\nPreencher a Ficha de Alteração: Inicialmente, é necessário preencher a "Ficha de Alteração de Dados de Estágio". Esta ficha é utilizada para documentar as mudanças desejadas nos horários do estágio.\n\nConsulta com o Professor Orientador de Estágio: Antes de submeter qualquer alteração, você deve verificar com o seu Professor Orientador de Estágio se o novo horário é compatível e não prejudicará suas atividades acadêmicas ou o progresso no curso.\n\nIntegradora de Estágio: Se o seu estágio é intermediado por uma Integradora de Estágio (como o CIEE, por exemplo), é necessário também ter uma cópia digital em PDF dos documentos que a Integradora formalizou para essa alteração.\n\nEnvio dos Documentos para Aprovação: Após preencher a ficha e ter a concordância do seu Professor Orientador, você deve enviar todos os documentos indicados e assinados ao PRAE (Professor Responsável pelo Estágio na UTFPR) para que o pedido seja oficialmente processado.\n\nAprovação e Formalização: O PRAE será responsável por fazer o despacho da mudança junto ao setor de estágios da UTFPR. Após a aprovação, as alterações no horário do estágio serão formalizadas.\n\nLembre-se de que qualquer alteração no seu estágio, incluindo mudanças de horário, deve estar em conformidade com as normas da UTFPR e não deve interferir no seu desempenho acadêmico. É importante manter uma comunicação clara e frequente com o seu Professor Orientador de Estágio durante esse processo para garantir que tudo ocorra de maneira suave e conforme as regras estabelecidas.
6;1;2022-05-08 09:00:00;Aqui estão informações de contatos para estágio obrigatório:\n\nhttps://portal.utfpr.edu.br/estagios
1;2;2022-05-08 09:00:00;Aqui estão informações gerais sobre estágio não obrigatório:\n\nO estágio não obrigatório é uma atividade extracurricular e opcional que oferece experiência profissional adicional ao estudante. Ele não é uma exigência para a conclusão do curso, mas proporciona uma oportunidade valiosa para o desenvolvimento de habilidades práticas na de graduação.\n\nPode ser realizado a partir do 2º período do curso, oferecendo flexibilidade para os estudantes iniciarem a experiência profissional mais cedo em sua trajetória acadêmica.\n\nO estágio não obrigatório deve ser remunerado. Além disso, a empresa deve fornecer um seguro contra acidentes pessoais para o estagiário, conforme a legislação brasileira sobre estágios.\n\nO estágio deve estar relacionado à área de graduação e ser aprovado pelo Professor Orientador de Estágio, garantindo que a experiência seja relevante para a formação do estudante.\n\nO estágio não obrigatório é uma excelente oportunidade para os estudantes ganharem experiência prática, expandirem sua rede profissional e aplicarem conhecimentos adquiridos em sala de aula em um ambiente de trabalho real. É importante que os alunos sigam atentamente os regulamentos da UTFPR e mantenham uma comunicação eficaz com os professores envolvidos e a empresa concedente para garantir uma experiência de estágio bem-sucedida.
2;2;2022-05-08 09:00:00;Aqui estão informações da diferença entre as modalidades de estágio:\n\nO estágio obrigatório é uma exigência do curso e deve ser cumprido para a obtenção do diploma. Já no estágio não obrigatório, é extracurricular e opcional. Não é uma exigência para a conclusão do curso, mas oferece experiência profissional adicional.\n\nO estágio não obrigatório pode ser iniciado à partir do segundo semestre do curso, enquanto o obrigatório depende das diretrizes do curso e pode variar.\n\nO estágio não obrigatório não possui uma carga horária mínima definida, enquanto o estágio obrigatório tem uma carga horária bem definida. Ambas são limitadas pelas normas de estágio da UTFPR.\n\nEnquanto no estágio obrigatório não a remuneração não é obrigatória, na modalidade de estágio não obrigatório deve ser remunerado, como previsto na Lei de Estágio.\n\nAmbos os tipos de estágio exigem supervisão acadêmica (pelo Professor Orientador de Estágio) e supervisão profissional (pelo Supervisor de Estágio na empresa). Eles também requerem a elaboração de relatórios e o cumprimento de requisitos documentais específicos. Importante ressaltar que, independentemente do tipo de estágio, é essencial cumprir as regulamentações e diretrizes estabelecidas pela universidade e pela legislação de estágios brasileira.
3;2;2022-05-08 09:00:00;Aqui estão informações da documentação de estágio não obrigatório:\n\nPlano de Estágio: o modelo deve ser preenchido e assinado tanto pelo estagiário quanto pelo supervisor de estágio. Após assinatura, o documento é encaminhado para o Professor Orientador e o PRAE para assinatura via SEI (Sistema Eletrônico de Informações)\n\nTermo de Compromisso de Estágio: Caso a empresa utilize uma Integradora de Estágio (ex: CIEE), as informações devem estar alinhadas com a documentação da Integradora. Este termo deve ser assinado pelo aluno e pela empresa. Após as assinaturas, o documento é encaminhado ao PRAE para formalização.\n\nCada etapa da documentação deve ser cuidadosamente seguida para garantir a conformidade com as normas da UTFPR e a validade legal do estágio. É importante também manter o cadastro atualizado no sistema de estágio da UTFPR e seguir as orientações do Professor Orientador de Estágio em todas as etapas do processo.
4;2;2022-05-08 09:00:00;Aqui estão informações de relatórios de estágio não obrigatório:\n\nRelatórios Parciais: São necessários dois relatórios parciais a cada seis meses de estágio. O estagiário deve preencher o "Relatório Parcial de Estágio - Estagiário". O supervisor de estágio deve preencher o "Relatório Parcial de Estágio - Supervisor". Ambos os relatórios devem ser assinados e submetidos ao Professor Orientador. Devem ser anexados no Sistema de Estágio da UTFPR e no processo SEI do aluno.\n\nRelatório Final: No término do estágio obrigatório, é necessário um relatório final. O estagiário utiliza o "Modelo Relatório Final Estágio Obrigatório" para este fim. O supervisor de estágio deve preencher e assinar o modelo "Relatório de Estágio - Supervisor", que é anexado ao relatório final do estagiário. Após a conclusão, este relatório é submetido para avaliação e deve ser anexado ao Sistema de Estágio da UTFPR e ao processo SEI do aluno.\n\nEstes relatórios são fundamentais para a avaliação do desempenho do aluno no estágio e para o cumprimento dos requisitos acadêmicos do curso. É importante ressaltar que todos os relatórios devem seguir os modelos fornecidos pela UTFPR e devem ser submetidos dentro dos prazos estipulados pelo regulamento de estágios da universidade.
5;2;2022-05-08 09:00:00;Aqui estão informações para alteração de horário de estágio não obrigatório:\n\nPreencher a Ficha de Alteração: Inicialmente, é necessário preencher a "Ficha de Alteração de Dados de Estágio". Esta ficha é utilizada para documentar as mudanças desejadas nos horários do estágio.\n\nConsulta com o Professor Orientador de Estágio: Antes de submeter qualquer alteração, você deve verificar com o seu Professor Orientador de Estágio se o novo horário é compatível e não prejudicará suas atividades acadêmicas ou o progresso no curso.\n\nIntegradora de Estágio: Se o seu estágio é intermediado por uma Integradora de Estágio (como o CIEE, por exemplo), é necessário também ter uma cópia digital em PDF dos documentos que a Integradora formalizou para essa alteração.\n\nEnvio dos Documentos para Aprovação: Após preencher a ficha e ter a concordância do seu Professor Orientador, você deve enviar todos os documentos indicados e assinados ao PRAE (Professor Responsável pelo Estágio na UTFPR) para que o pedido seja oficialmente processado.\n\nAprovação e Formalização: O PRAE será responsável por fazer o despacho da mudança junto ao setor de estágios da UTFPR. Após a aprovação, as alterações no horário do estágio serão formalizadas.\n\nLembre-se de que qualquer alteração no seu estágio, incluindo mudanças de horário, deve estar em conformidade com as normas da UTFPR e não deve interferir no seu desempenho acadêmico. É importante manter uma comunicação clara e frequente com o seu Professor Orientador de Estágio durante esse processo para garantir que tudo ocorra de maneira suave e conforme as regras estabelecidas.
6;2;2022-05-08 09:00:00;Aqui estão informações de contatos para estágio não obrigatório:\n\nhttps://portal.utfpr.edu.br/estagios