CAMPUS_ID;CAMPUS_NAME;STUDENT_PORTAL_LINK
1;CURITIBA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno01/mpmenu.inicio
2;CORNELIO PROCOPIO;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno02/mpmenu.inicio
3;CAMPO MOURAO;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno03/mpmenu.inicio
4;MEDIANEIRA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno04/mpmenu.inicio
5;PATO BRANCO;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno05/mpmenu.inicio
6;PONTA GROSSA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno06/mpmenu.inicio
7;DOIS VIZINHOS;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno07/mpmenu.inicio
8;LONDRINA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno08/mpmenu.inicio
9;TOLEDO;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno09/mpmenu.inicio
10;APUCARANA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno10/mpmenu.inicio
11;FRANCISCO BELTRAO;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno11/mpmenu.inicio
12;GUARAPUAVA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno12/mpmenu.inicio
13;SANTA HELENA;https://sistemas2.utfpr.edu.br/dpls/sistema/aluno13/mpmenu.inicio